iter	RMSE
0	4.13188496
1	4.044215223
2	3.959829417
3	3.884599867
4	3.810904786
5	3.742756401
6	3.681259186
7	3.621181281
8	3.567200505
9	3.517028386
10	3.474000133
11	3.426816715
12	3.384533371
13	3.346802483
14	3.314913567
15	3.284484057
16	3.255181128
17	3.225158702
18	3.195931245
19	3.173007133
20	3.15143373
21	3.128843899
22	3.110369897
23	3.089143782
24	3.070666979
25	3.055155016
26	3.034602041
27	3.01945864
28	3.006557349
29	2.993492381
30	2.981717468
31	2.969537666
32	2.96183536
33	2.947051118
34	2.936319057
35	2.925897658
36	2.91939862
37	2.91112909
38	2.905386104
39	2.892175272
40	2.885914528
41	2.880690366
42	2.872343394
43	2.867657771
44	2.86392666
45	2.856286882
46	2.850428197
47	2.83934241
48	2.83573058
49	2.828472198
50	2.82169204
51	2.811967675
52	2.807983177
53	2.795801651
54	2.792413137
55	2.789219939
56	2.784582299
57	2.778670552
58	2.77551268
59	2.772356573
60	2.76736029
61	2.760268588
62	2.757941148
63	2.754763413
64	2.752474842
65	2.750237846
66	2.746544739
67	2.73789525
68	2.732259382
69	2.727158276
70	2.724611391
71	2.718775482
72	2.712496245
73	2.710709656
74	2.706889127
75	2.703709884
76	2.701831042
77	2.697595521
78	2.695260506
79	2.686532094
80	2.684909265
81	2.683150215
82	2.675455106
83	2.673527962
84	2.672107298
85	2.66959735
86	2.6665177
87	2.659663412
88	2.654958035
89	2.651391469
90	2.65038273
91	2.649554805
92	2.647570226
93	2.644750302
94	2.640269169
95	2.638737154
96	2.636594205
97	2.63045027
98	2.627025242
99	2.620055271
100	2.616892535
101	2.615678745
102	2.614352334
103	2.61275808
104	2.606437729
105	2.604268028
106	2.602706973
107	2.599175009
108	2.594403061
109	2.592096999
110	2.589552881
111	2.587055633
112	2.584021035
113	2.582244559
114	2.57912209
115	2.578282635
116	2.57551899
117	2.571434719
118	2.569469152
119	2.565514912
120	2.565084367
121	2.560867003
122	2.557713304
123	2.552095718
124	2.546110851
125	2.542742746
126	2.541206031
127	2.538437248
128	2.537317736
129	2.535762548
130	2.533906234
131	2.532031616
132	2.531804026
133	2.528504296
134	2.522831322
135	2.522205809
136	2.521667004
137	2.520952302
138	2.518336531
139	2.516831876
140	2.510022903
141	2.508586494
142	2.504612955
143	2.501650864
144	2.498916435
145	2.498366144
146	2.497469657
147	2.495963491
148	2.494836602
149	2.492844107
150	2.492083359
151	2.48937221
152	2.487570414
153	2.486293454
154	2.482607994
155	2.480427477
156	2.478185378
157	2.473139197
158	2.467969095
159	2.464651185
160	2.462988135
161	2.461053645
162	2.455008914
163	2.450464231
164	2.447753365
165	2.447042453
166	2.445752409
167	2.444716247
168	2.443114489
169	2.442023346
170	2.436831903
171	2.434702538
172	2.433210693
173	2.430333306
174	2.427065605
175	2.425264855
176	2.423383056
177	2.418781275
178	2.41711611
179	2.415393376
180	2.413443457
181	2.410163292
182	2.408788223
183	2.404284838
184	2.402688484
185	2.401929743
186	2.401312926
187	2.399691213
188	2.398153661
189	2.397366019
190	2.396783572
191	2.395941009
192	2.395409453
193	2.394017942
194	2.393352608
195	2.392157527
196	2.389123149
197	2.38863411
198	2.386919204
199	2.385597956
200	2.384416962
201	2.383153638
202	2.381134338
203	2.37834265
204	2.376856344
205	2.370282588
206	2.368852188
207	2.36837846
208	2.367092045
209	2.360514226
210	2.359385383
211	2.356009365
212	2.354987307
213	2.3529594
214	2.351691147
215	2.348122576
216	2.346205719
217	2.343952628
218	2.34334943
219	2.342152284
220	2.340356328
221	2.339801936
222	2.336785808
223	2.334101724
224	2.33158938
225	2.329943275
226	2.328372563
227	2.326537796
228	2.324590124
229	2.323211299
230	2.319948289
231	2.31712815
232	2.316143129
233	2.313732906
234	2.312466475
235	2.310011042
236	2.307703314
237	2.307331379
238	2.304355652
239	2.303871696
240	2.301050577
241	2.300586345
242	2.298324231
243	2.29682169
244	2.295759231
245	2.295433043
246	2.292943348
247	2.291501321
248	2.289138164
249	2.287656397
250	2.28416841
251	2.281435098
252	2.280428635
253	2.277966344
254	2.276093292
255	2.273141473
256	2.270689815
257	2.268687651
258	2.266944208
259	2.264101842
260	2.261991135
261	2.260703223
262	2.258032081
263	2.255475355
264	2.252938709
265	2.24964747
266	2.247984552
267	2.245533115
268	2.243185253
269	2.239834912
270	2.239529389
271	2.236988372
272	2.235645865
273	2.234213841
274	2.233928253
275	2.231741752
276	2.230620798
277	2.226870157
278	2.223864467
279	2.221621921
280	2.220260522
281	2.219995436
282	2.219715762
283	2.218914887
284	2.21694557
285	2.214488801
286	2.214246933
287	2.212124279
288	2.210630644
289	2.207928288
290	2.206587803
291	2.205632158
292	2.202471467
293	2.201994778
294	2.200786398
295	2.19875615
296	2.195383748
297	2.193512788
298	2.193291981
299	2.193049978
300	2.191269746
301	2.188925737
302	2.187791218
303	2.185937048
304	2.185005505
305	2.182755216
306	2.180529184
307	2.17889558
308	2.175757133
309	2.175557446
310	2.175249445
311	2.174234177
312	2.172989116
313	2.169997682
314	2.168725809
315	2.168356956
316	2.166304953
317	2.164993481
318	2.162086362
319	2.158989821
320	2.157615663
321	2.156289302
322	2.156096619
323	2.15566806
324	2.153468186
325	2.15227226
326	2.15119349
327	2.150350094
328	2.149232057
329	2.147961909
330	2.146735503
331	2.144613266
332	2.143336482
333	2.142482537
334	2.139331033
335	2.135903623
336	2.133871746
337	2.13092075
338	2.129757771
339	2.129267619
340	2.12814437
341	2.127061023
342	2.125435334
343	2.123354435
344	2.122585354
345	2.119945776
346	2.118299708
347	2.117624646
348	2.115716105
349	2.112214339
350	2.109420522
351	2.108955759
352	2.106879511
353	2.105284
354	2.102755109
355	2.100864743
356	2.099532123
357	2.097118954
358	2.09546159
359	2.093885163
360	2.093165844
361	2.091446151
362	2.0891296
363	2.086912539
364	2.085843182
365	2.084703941
366	2.083767172
367	2.081630701
368	2.079788621
369	2.077681042
370	2.076985902
371	2.076288614
372	2.072271127
373	2.068835063
374	2.066871918
375	2.065060491
376	2.064528601
377	2.061675067
378	2.060753438
379	2.058806477
380	2.055544891
381	2.054824187
382	2.053957706
383	2.052410082
384	2.05126304
385	2.050030259
386	2.048343711
387	2.046431332
388	2.045629239
389	2.043000325
390	2.042159365
391	2.04092009
392	2.039172976
393	2.035783692
394	2.035040682
395	2.033248921
396	2.031624705
397	2.029930931
398	2.029538295
399	2.027539422
400	2.025722977
401	2.021421697
402	2.020712757
403	2.018063734
404	2.016208092
405	2.015550788
406	2.014228768
407	2.012239109
408	2.010336802
409	2.008051627
410	2.006538244
411	2.004030407
412	2.002241594
413	2.001682152
414	1.999503274
415	1.996509344
416	1.99435051
417	1.992292222
418	1.99192389
419	1.991337723
420	1.989287655
421	1.987333651
422	1.986782658
423	1.984151146
424	1.982449994
425	1.978830139
426	1.976503579
427	1.973301004
428	1.972091988
429	1.97098709
430	1.969735815
431	1.967550429
432	1.965898092
433	1.964320099
434	1.964238684
435	1.962391934
436	1.962006507
437	1.960359322
438	1.958547237
439	1.957396451
440	1.955692141
441	1.954159186
442	1.950745246
443	1.949183799
444	1.946832823
445	1.945375142
446	1.943955642
447	1.942866825
448	1.940118721
449	1.93832448
450	1.937734206
451	1.936715441
452	1.934536465
453	1.933650508
454	1.932025074
455	1.930894903
456	1.929886973
457	1.927459626
458	1.926345507
459	1.925675205
460	1.923542376
461	1.92279236
462	1.920291674
463	1.918890669
464	1.917556372
465	1.917135366
466	1.915077511
467	1.913374991
468	1.912200783
469	1.910681827
470	1.909399761
471	1.907751558
472	1.905325204
473	1.905025295
474	1.904260046
475	1.903021236
476	1.901943191
477	1.90147261
478	1.899964537
479	1.897594256
480	1.896758718
481	1.895993315
482	1.894561364
483	1.893401191
484	1.891259931
485	1.890136191
486	1.889635999
487	1.886315359
488	1.885549984
489	1.884430342
490	1.883474546
491	1.882827192
492	1.881393643
493	1.880051075
494	1.878729971
495	1.878372462
496	1.878034662
497	1.877462876
498	1.876755383
499	1.875311072
500	1.873195385
501	1.871998469
502	1.870752839
503	1.869755041
504	1.866950818
505	1.865003228
506	1.863587374
507	1.86297414
508	1.861745104
509	1.860237406
510	1.859269945
511	1.858545172
512	1.85770318
513	1.855894049
514	1.853896552
515	1.853490754
516	1.851066587
517	1.849355228
518	1.848269553
519	1.846229312
520	1.845038103
521	1.843563258
522	1.842648431
523	1.841516255
524	1.839937046
525	1.839066809
526	1.837990974
527	1.83694243
528	1.834806087
529	1.834324005
530	1.832137826
531	1.83088575
532	1.830000305
533	1.829277655
534	1.827619467
535	1.826742157
536	1.825497548
537	1.824900501
538	1.824265968
539	1.823053235
540	1.821885236
541	1.820988089
542	1.820474225
543	1.819247753
544	1.81777834
545	1.816622869
546	1.815933984
547	1.815243929
548	1.814652973
549	1.813739124
550	1.812954994
551	1.811300097
552	1.808155225
553	1.807098993
554	1.8059016
555	1.804549856
556	1.802740785
557	1.802270166
558	1.801123611
559	1.800676902
560	1.799174196
561	1.798449277
562	1.797465289
563	1.796830317
564	1.79569109
565	1.794401269
566	1.793820668
567	1.793162391
568	1.792846309
569	1.791634367
570	1.790385163
571	1.789784845
572	1.788743763
573	1.787005376
574	1.785649753
575	1.783634879
576	1.782976275
577	1.782595134
578	1.781713218
579	1.780935144
580	1.780275525
581	1.777389709
582	1.776520631
583	1.775454175
584	1.774603382
585	1.77359869
586	1.772998476
587	1.770429088
588	1.768613685
589	1.767710092
590	1.766722353
591	1.766135693
592	1.765088469
593	1.764262646
594	1.762876513
595	1.76208145
596	1.761744448
597	1.761378895
598	1.760436721
599	1.758439857
600	1.757610808
601	1.757260763
602	1.755531857
603	1.755063559
604	1.754630482
605	1.753629689
606	1.752287881
607	1.751393304
608	1.750104844
609	1.749747818
610	1.749301523
611	1.748757343
612	1.746608001
613	1.746254667
614	1.745945098
615	1.744466459
616	1.743496401
617	1.742178589
618	1.741440366
619	1.74000796
620	1.738962846
621	1.738432321
622	1.737027112
623	1.736304432
624	1.735485806
625	1.734831556
626	1.734412095
627	1.733672395
628	1.732779009
629	1.732281517
630	1.731992533
631	1.730624379
632	1.730120029
633	1.728886908
634	1.727806147
635	1.727346453
636	1.72693154
637	1.7254056
638	1.724976972
639	1.724825118
640	1.724094637
641	1.722724496
642	1.72150895
643	1.720620338
644	1.720199236
645	1.71951084
646	1.718115506
647	1.716872272
648	1.715383399
649	1.712915552
650	1.711821883
651	1.71108593
652	1.709803523
653	1.708740091
654	1.706965729
655	1.706085508
656	1.704884453
657	1.704153473
658	1.703228901
659	1.702724244
660	1.702285365
661	1.69946433
662	1.698971694
663	1.697948308
664	1.696676715
665	1.695870565
666	1.695428398
667	1.694255114
668	1.693992488
669	1.693001086
670	1.692205764
671	1.69042426
672	1.689338052
673	1.688468223
674	1.686443276
675	1.685918528
676	1.685190205
677	1.684374508
678	1.682445686
679	1.682192757
680	1.68127886
681	1.680400015
682	1.679587315
683	1.679342799
684	1.67910697
685	1.678402048
686	1.676426125
687	1.675431577
688	1.673895141
689	1.673667038
690	1.673131182
691	1.672222869
692	1.669930793
693	1.668467657
694	1.667692922
695	1.6669626
696	1.666305615
697	1.665697929
698	1.664365637
699	1.662626715
700	1.662036297
701	1.661182445
702	1.660162774
703	1.659366586
704	1.658970995
705	1.657291431
706	1.656710477
707	1.656346039
708	1.655026589
709	1.654440001
710	1.653596942
711	1.653251726
712	1.652757223
713	1.651901621
714	1.651689713
715	1.651470082
716	1.65072881
717	1.649675081
718	1.64934801
719	1.648785389
720	1.647718905
721	1.646095349
722	1.644619253
723	1.642679177
724	1.64161947
725	1.640182663
726	1.639448709
727	1.63874154
728	1.63803063
729	1.636806586
730	1.636290942
731	1.635405075
732	1.634542755
733	1.633516175
734	1.631921357
735	1.630916274
736	1.629905825
737	1.629290809
738	1.627090469
739	1.625876903
740	1.624090819
741	1.623376689
742	1.622568297
743	1.621415016
744	1.619353761
745	1.617670963
746	1.61583249
747	1.615152453
748	1.61474061
749	1.614009381
750	1.613189416
751	1.6114978
752	1.610634567
753	1.609180168
754	1.607686453
755	1.607035337
756	1.606268496
757	1.60596004
758	1.604410574
759	1.603655723
760	1.603498386
761	1.60273931
762	1.601793629
763	1.601377792
764	1.60089706
765	1.60033707
766	1.599570523
767	1.599124831
768	1.59852794
769	1.597942486
770	1.59729516
771	1.596738324
772	1.596026283
773	1.595480085
774	1.59462787
775	1.594359305
776	1.593551511
777	1.592410538
778	1.590598435
779	1.59024227
780	1.588657526
781	1.587917568
782	1.58719193
783	1.585792871
784	1.585298758
785	1.58418009
786	1.583352298
787	1.582415105
788	1.581516697
789	1.581023903
790	1.580361381
791	1.579443608
792	1.579102565
793	1.578313247
794	1.576666326
795	1.576353515
796	1.575386486
797	1.574197434
798	1.573340406
799	1.571101473
800	1.57013017
801	1.569328699
802	1.568638742
803	1.567746025
804	1.566934323
805	1.566656429
806	1.565450058
807	1.565131322
808	1.564879595
809	1.563166735
810	1.561699677
811	1.561050535
812	1.559899748
813	1.559183731
814	1.558934172
815	1.557845262
816	1.556718552
817	1.555655965
818	1.554652959
819	1.553595239
820	1.552840524
821	1.551787268
822	1.551049286
823	1.550080249
824	1.548932221
825	1.548697486
826	1.547645696
827	1.547243461
828	1.545371434
829	1.544608534
830	1.543913869
831	1.542921026
832	1.542094199
833	1.541265913
834	1.540426674
835	1.54011257
836	1.538476048
837	1.53778711
838	1.537309795
839	1.536714431
840	1.536076315
841	1.535482432
842	1.534839303
843	1.534035154
844	1.533581962
845	1.533364559
846	1.532683619
847	1.531996813
848	1.530163526
849	1.52747366
850	1.526888288
851	1.526306473
852	1.5254201
853	1.52472667
854	1.523371271
855	1.522813802
856	1.522650398
857	1.520735436
858	1.520294904
859	1.519482649
860	1.51923939
861	1.518686133
862	1.518390845
863	1.517502359
864	1.517304278
865	1.516776019
866	1.515969534
867	1.515350577
868	1.514466095
869	1.51322812
870	1.512888477
871	1.512094219
872	1.511910895
873	1.510667327
874	1.50944229
875	1.508526663
876	1.507697369
877	1.506661262
878	1.506208185
879	1.504700111
880	1.504055724
881	1.5033996
882	1.502988892
883	1.502144366
884	1.501702342
885	1.500423595
886	1.500000364
887	1.499142423
888	1.498562378
889	1.498163932
890	1.497327982
891	1.495497927
892	1.494750185
893	1.494539873
894	1.493818166
895	1.493442837
896	1.493007708
897	1.491583241
898	1.490463644
899	1.489242651
900	1.488860108
901	1.487915781
902	1.487174575
903	1.486007765
904	1.485017852
905	1.483441755
906	1.481623773
907	1.48124572
908	1.480509674
909	1.479820057
910	1.478695021
911	1.478098971
912	1.477557946
913	1.476894074
914	1.476114509
915	1.475339909
916	1.474846891
917	1.473576031
918	1.472107718
919	1.471740074
920	1.470276855
921	1.469683289
922	1.469011905
923	1.468418573
924	1.467087307
925	1.465935718
926	1.465577923
927	1.465125189
928	1.464762415
929	1.463163865
930	1.46200992
931	1.461121359
932	1.460545235
933	1.459818309
934	1.459292636
935	1.458672225
936	1.457230779
937	1.456794075
938	1.456477162
939	1.455146467
940	1.454334594
941	1.453685676
942	1.45348612
943	1.452837998
944	1.451558658
945	1.451071507
946	1.450495784
947	1.44954381
948	1.448918462
949	1.447904816
950	1.447413255
951	1.446948833
952	1.44587488
953	1.445450825
954	1.444861403
955	1.444169716
956	1.443684354
957	1.4427322
958	1.44203291
959	1.441426703
960	1.440914621
961	1.440142514
962	1.439858125
963	1.439406316
964	1.438581448
965	1.437940026
966	1.437523144
967	1.437227192
968	1.436792582
969	1.436215002
970	1.435764998
971	1.434827983
972	1.434239246
973	1.433638579
974	1.433373757
975	1.43261386
976	1.431958141
977	1.431571496
978	1.4312176
979	1.430829332
980	1.430187062
981	1.428080012
982	1.428036454
983	1.427665699
984	1.426119732
985	1.425466794
986	1.42431173
987	1.424119954
988	1.423495
989	1.422964142
990	1.422921553
991	1.422277203
992	1.420756417
993	1.419639743
994	1.418595723
995	1.418544334
996	1.418463713
997	1.418203181
998	1.418038029
999	1.417693572
