iter	Passed	Remaining
0	4	4663
1	6	3448
2	9	3018
3	11	2954
4	13	2785
5	17	2818
6	20	2918
7	24	2994
8	28	3143
9	31	3155
10	35	3186
11	39	3236
12	43	3271
13	45	3224
14	48	3212
15	51	3192
16	55	3202
17	58	3212
18	61	3197
19	64	3161
20	67	3164
21	76	3387
22	79	3363
23	82	3337
24	84	3303
25	88	3297
26	92	3325
27	94	3297
28	99	3325
29	102	3329
30	106	3334
31	109	3304
32	113	3325
33	116	3302
34	119	3293
35	123	3313
36	126	3303
37	131	3324
38	134	3322
39	138	3324
40	140	3296
41	143	3273
42	146	3269
43	150	3261
44	153	3249
45	156	3242
46	159	3236
47	162	3228
48	166	3231
49	170	3243
50	173	3235
51	176	3212
52	179	3211
53	182	3201
54	188	3232
55	194	3275
56	197	3271
57	201	3270
58	205	3270
59	207	3246
60	209	3224
61	213	3223
62	215	3205
63	219	3216
64	223	3208
65	226	3205
66	230	3208
67	233	3197
68	236	3193
69	240	3189
70	243	3191
71	246	3183
72	251	3188
73	254	3179
74	257	3175
75	260	3164
76	263	3161
77	268	3175
78	271	3167
79	274	3158
80	278	3155
81	281	3152
82	286	3170
83	290	3165
84	292	3153
85	296	3149
86	299	3147
87	303	3148
88	307	3144
89	312	3157
90	318	3180
91	321	3172
92	324	3162
93	327	3159
94	331	3154
95	334	3153
96	337	3141
97	340	3129
98	344	3136
99	351	3161
100	355	3161
101	358	3159
102	361	3150
103	365	3145
104	368	3145
105	372	3143
106	376	3138
107	379	3132
108	383	3131
109	386	3123
110	390	3124
111	393	3123
112	398	3125
113	401	3118
114	403	3108
115	406	3099
116	410	3096
117	414	3096
118	417	3090
119	420	3083
120	424	3080
121	428	3084
122	434	3095
123	437	3093
124	441	3093
125	445	3088
126	449	3087
127	452	3080
128	454	3071
129	458	3067
130	461	3062
131	468	3081
132	472	3079
133	475	3072
134	480	3078
135	484	3076
136	488	3074
137	492	3076
138	498	3087
139	501	3081
140	505	3080
141	508	3073
142	513	3075
143	515	3066
144	519	3064
145	523	3060
146	526	3054
147	530	3056
148	534	3052
149	537	3047
150	542	3049
151	546	3050
152	552	3060
153	556	3056
154	560	3053
155	563	3049
156	566	3039
157	568	3027
158	571	3020
159	574	3016
160	579	3018
161	584	3022
162	587	3017
163	591	3014
164	596	3016
165	598	3007
166	601	2999
167	604	2993
168	608	2990
169	611	2985
170	615	2982
171	619	2980
172	623	2979
173	628	2983
174	631	2974
175	633	2968
176	637	2962
177	640	2958
178	645	2961
179	649	2960
180	654	2959
181	658	2959
182	663	2961
183	667	2959
184	670	2952
185	674	2950
186	678	2950
187	682	2949
188	686	2945
189	691	2947
190	695	2944
191	698	2941
192	702	2938
193	707	2940
194	711	2937
195	715	2933
196	718	2929
197	722	2927
198	727	2926
199	729	2919
200	733	2914
201	736	2910
202	740	2905
203	744	2903
204	747	2900
205	751	2897
206	755	2892
207	758	2888
208	761	2881
209	764	2875
210	766	2867
211	770	2865
212	777	2872
213	781	2869
214	785	2866
215	790	2868
216	793	2862
217	796	2858
218	800	2853
219	804	2852
220	808	2849
221	811	2843
222	816	2843
223	820	2841
224	825	2843
225	828	2836
226	831	2831
227	834	2825
228	838	2823
229	842	2820
230	847	2820
231	852	2821
232	862	2838
233	866	2835
234	869	2829
235	872	2824
236	875	2817
237	879	2815
238	883	2812
239	887	2808
240	890	2805
241	894	2801
242	897	2795
243	900	2788
244	904	2787
245	906	2779
246	911	2777
247	915	2775
248	918	2770
249	921	2764
250	924	2758
251	928	2756
252	932	2753
253	937	2753
254	940	2748
255	943	2743
256	947	2738
257	950	2733
258	953	2728
259	956	2722
260	960	2718
261	964	2715
262	967	2712
263	974	2716
264	978	2714
265	983	2715
266	987	2710
267	990	2705
268	994	2701
269	997	2696
270	1000	2692
271	1007	2695
272	1011	2692
273	1015	2690
274	1019	2687
275	1022	2681
276	1025	2675
277	1028	2670
278	1031	2664
279	1034	2659
280	1038	2657
281	1042	2655
282	1046	2650
283	1052	2653
284	1056	2649
285	1059	2643
286	1062	2638
287	1066	2636
288	1070	2632
289	1073	2629
290	1077	2624
291	1080	2620
292	1084	2617
293	1087	2612
294	1090	2606
295	1094	2602
296	1098	2601
297	1101	2595
298	1104	2590
299	1108	2586
300	1111	2581
301	1115	2578
302	1118	2572
303	1120	2565
304	1123	2560
305	1128	2558
306	1131	2553
307	1134	2548
308	1137	2544
309	1140	2539
310	1144	2534
311	1147	2530
312	1150	2525
313	1153	2520
314	1157	2516
315	1159	2510
316	1162	2505
317	1169	2508
318	1173	2506
319	1177	2502
320	1180	2497
321	1183	2492
322	1187	2488
323	1189	2482
324	1192	2477
325	1196	2473
326	1199	2468
327	1203	2464
328	1207	2462
329	1209	2456
330	1212	2451
331	1215	2446
332	1218	2441
333	1221	2436
334	1224	2431
335	1227	2426
336	1230	2420
337	1233	2416
338	1236	2411
339	1239	2406
340	1242	2401
341	1246	2399
342	1249	2394
343	1253	2389
344	1256	2384
345	1259	2380
346	1262	2376
347	1266	2372
348	1269	2367
349	1272	2362
350	1274	2357
351	1278	2353
352	1282	2349
353	1285	2345
354	1287	2339
355	1290	2335
356	1294	2332
357	1297	2327
358	1300	2322
359	1303	2317
360	1306	2312
361	1309	2307
362	1312	2303
363	1315	2299
364	1318	2294
365	1322	2290
366	1328	2291
367	1331	2287
368	1334	2282
369	1339	2279
370	1342	2275
371	1344	2270
372	1347	2265
373	1350	2260
374	1353	2255
375	1356	2251
376	1359	2246
377	1363	2242
378	1367	2240
379	1370	2236
380	1373	2232
381	1377	2228
382	1380	2223
383	1383	2219
384	1386	2214
385	1388	2209
386	1391	2204
387	1394	2200
388	1397	2195
389	1401	2191
