iter	RMSE
0	4.262689047
1	4.203989363
2	4.146634717
3	4.088533231
4	4.032483443
5	3.983105852
6	3.93103208
7	3.883997169
8	3.83849913
9	3.796329215
10	3.757288661
11	3.71556903
12	3.675295637
13	3.636598756
14	3.597862849
15	3.564367732
16	3.52924849
17	3.494606299
18	3.462118725
19	3.431682694
20	3.403329677
21	3.375580198
22	3.348617446
23	3.321928451
24	3.297862278
25	3.27278458
26	3.248630072
27	3.22735067
28	3.205088108
29	3.184826432
30	3.163815147
31	3.146730909
32	3.12893577
33	3.112000755
34	3.094104379
35	3.075235077
36	3.058440274
37	3.043568768
38	3.028879709
39	3.010163946
40	2.99696986
41	2.984062074
42	2.972590735
43	2.957610552
44	2.943746902
45	2.928710956
46	2.913679625
47	2.901331848
48	2.890293261
49	2.880820993
50	2.869907167
51	2.860132094
52	2.852996288
53	2.846054458
54	2.836339732
55	2.823757783
56	2.815720669
57	2.802456943
58	2.795205702
59	2.785219793
60	2.779062107
61	2.772475188
62	2.762368373
63	2.756537057
64	2.745365212
65	2.738146841
66	2.732245749
67	2.722484216
68	2.714951407
69	2.706323802
70	2.698169218
71	2.692472572
72	2.688435375
73	2.681908188
74	2.677051298
75	2.669822138
76	2.665447186
77	2.659301121
78	2.654313842
79	2.645761315
80	2.638358153
81	2.635247386
82	2.628063174
83	2.624115474
84	2.616762596
85	2.608119244
86	2.602899997
87	2.599088183
88	2.595117554
89	2.590666908
90	2.587273724
91	2.58418254
92	2.581807873
93	2.574004813
94	2.568616757
95	2.563538297
96	2.559452634
97	2.556594826
98	2.552344294
99	2.547221458
100	2.539727934
101	2.534779663
102	2.530247955
103	2.52697834
104	2.524355321
105	2.51645145
106	2.513834394
107	2.512109449
108	2.509047939
109	2.507240436
110	2.504853449
111	2.499086853
112	2.496440879
113	2.493876142
114	2.49238496
115	2.486457814
116	2.481805548
117	2.480052669
118	2.477972432
119	2.476217407
120	2.471874016
121	2.470045811
122	2.468379873
123	2.466900793
124	2.464324219
125	2.463280104
126	2.461051419
127	2.458360721
128	2.45359625
129	2.448686301
130	2.447389004
131	2.445670283
132	2.439723326
133	2.436063671
134	2.434813491
135	2.429885782
136	2.426093914
137	2.424152624
138	2.422524842
139	2.417461812
140	2.414973707
141	2.411873799
142	2.410373967
143	2.408651848
144	2.406609667
145	2.405282029
146	2.40379892
147	2.402325127
148	2.398898322
149	2.3961339
