iter	Passed	Remaining
0	2	2706
1	5	2632
2	7	2573
3	10	2557
4	12	2529
5	15	2507
6	17	2481
7	19	2470
8	22	2456
9	24	2457
10	27	2489
11	30	2497
12	33	2511
13	35	2503
14	38	2503
15	40	2499
16	43	2487
17	45	2484
18	47	2476
19	50	2468
20	52	2465
21	55	2457
22	57	2462
23	60	2464
24	63	2471
25	65	2458
26	67	2447
27	70	2451
28	73	2446
29	75	2445
30	78	2438
31	80	2432
32	82	2420
33	85	2415
34	87	2405
35	89	2401
36	91	2391
37	94	2391
38	96	2384
39	98	2374
40	101	2371
41	103	2369
42	106	2364
43	109	2370
44	111	2366
45	114	2369
46	116	2367
47	119	2363
48	121	2361
49	123	2346
50	125	2337
51	127	2332
52	130	2330
53	132	2329
54	134	2312
55	136	2308
56	139	2304
57	141	2301
58	143	2295
59	146	2291
60	148	2290
61	151	2285
62	153	2282
63	155	2279
64	159	2287
65	161	2283
66	163	2282
67	166	2281
68	168	2277
69	170	2270
70	173	2268
71	175	2265
72	178	2266
73	181	2266
74	183	2266
75	186	2266
76	188	2262
77	191	2262
78	193	2258
79	194	2241
80	197	2240
81	199	2237
82	202	2233
83	204	2234
84	207	2234
85	210	2233
86	212	2231
87	214	2222
88	217	2223
89	220	2226
90	222	2219
91	224	2216
92	227	2216
93	230	2217
94	232	2215
95	234	2210
96	237	2213
97	240	2209
98	242	2206
99	245	2205
100	248	2211
101	250	2207
102	253	2205
103	255	2203
104	258	2203
105	261	2203
106	263	2201
107	266	2201
108	268	2196
109	271	2195
110	274	2194
111	276	2191
112	279	2192
113	281	2191
114	284	2188
115	286	2184
116	289	2182
117	291	2178
118	293	2176
119	296	2173
120	298	2168
121	301	2167
122	303	2165
123	306	2165
124	309	2165
125	311	2160
126	313	2157
127	316	2156
128	318	2153
129	321	2152
130	323	2148
131	326	2147
132	329	2146
133	331	2141
134	333	2137
135	336	2140
136	339	2137
137	341	2134
138	343	2130
139	346	2131
140	350	2132
141	352	2128
142	354	2126
143	357	2123
144	360	2123
145	362	2121
146	365	2118
147	367	2118
148	370	2116
149	372	2111
150	375	2112
151	378	2109
152	380	2105
153	382	2103
154	385	2101
155	387	2097
156	390	2094
157	392	2091
158	394	2089
159	397	2087
160	399	2084
161	402	2082
162	405	2081
163	407	2078
164	410	2077
165	412	2074
166	415	2071
167	418	2071
168	420	2068
169	423	2067
170	425	2064
171	428	2062
172	431	2063
173	434	2061
174	436	2059
175	438	2052
176	441	2051
177	443	2049
178	446	2046
179	448	2045
180	451	2043
181	454	2041
182	456	2039
183	459	2036
184	461	2034
185	464	2031
186	466	2028
187	469	2025
188	471	2023
189	474	2022
190	476	2019
191	479	2017
192	481	2014
193	484	2011
194	486	2007
195	488	2005
196	491	2002
197	493	1999
198	496	1997
199	498	1994
200	501	1992
201	503	1990
202	506	1986
203	509	1986
204	512	1985
205	514	1982
206	516	1979
207	519	1977
208	521	1974
209	524	1971
210	526	1969
211	529	1967
212	531	1964
213	534	1964
214	537	1961
215	539	1959
216	542	1957
217	545	1955
218	547	1954
219	550	1952
220	552	1948
221	555	1945
222	557	1943
223	560	1941
224	562	1938
225	565	1935
226	567	1933
227	569	1929
228	572	1927
229	575	1925
230	577	1922
231	579	1919
232	582	1917
233	585	1915
234	587	1913
235	590	1911
236	593	1909
237	595	1905
238	597	1903
239	600	1900
240	602	1898
241	604	1894
242	607	1892
243	610	1890
244	612	1887
245	615	1885
246	617	1882
247	620	1880
248	622	1877
249	624	1874
250	627	1873
251	630	1871
252	632	1868
253	635	1865
254	637	1863
255	640	1861
256	642	1857
257	644	1854
258	647	1852
259	649	1849
260	652	1848
261	654	1844
262	657	1842
263	660	1840
264	662	1837
265	664	1834
266	667	1832
267	669	1829
268	672	1826
269	674	1824
270	677	1821
271	679	1819
272	682	1817
273	684	1814
274	687	1812
275	689	1809
276	692	1807
277	694	1804
278	697	1802
279	699	1798
280	702	1796
281	704	1794
282	707	1791
